GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,PROMEDIO ACTIVOS,VARIACION GANANCIA (PERDIDA),GANANCIA (PERDIDA) PROMEDIO
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.42050756786697985,46757854170.0,-0.31513455874942436,1645112785.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.13926894044513569,1643982625.0,0.38774728730799707,42402070.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.4523956636480248,5121914815.0,6.550907296448491,56142350.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.10356729664912916,65044254490.0,-0.023809842028020292,6160634000.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.047064068693463836,1948582095.0,-0.6026195084392953,71625455.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.4929582195706412,4456811560.0,-2.3476705295096107,-15765965.0
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.06678096590110169,1311976130.0,0.07964920101765524,13528430.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.034689972113774975,12773742005.0,-11.663085322830085,-222531820.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.454387042916704,3729250910.0,-0.774228807832392,-312094020.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.24887337464506082,7930262585.0817995,-0.8824575814171529,11257165951.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.07769967989298822,7215775360.0,1.1217226145404964,-70206090.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.13444769092115183,4676843415.0,-1.3026288897815232,23680575.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.09088245645284396,1214939660.0,0.028077103524344216,186224205.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1814425475465322,12786138450.0,3.826391768127527,760953275.0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.14656542195499228,4986581755.0,0.10724060035228185,117438510.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.29511229416218865,1316100725.0,1.0528062956814568,177754470.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.4428607068922275,4859480485.0,1.0324491569335839,312484015.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.06846564018772662,87951065000.0,0.1856516353342831,4702200000.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.012208742177520849,2752615970.0,-0.05982665850697527,316209490.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.057712351078377355,2543072850.0,0.6296066293151369,192602290.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.018212726879140148,1562282750.0,-0.4343904174494465,37801205.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.32108246490439357,1156147110.0,0.38485937578024726,86920445.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-0.008688231082674589,4385573330.0,13.134316825872917,-139264470.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.08751291586524165,1069371810.0,0.19433934612478776,-125398210.0
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.10545852060516044,1932537865.0,-0.5816116102099848,39050055.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.12308241041679313,1603336720.0,-0.29026307316753996,-59316570.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.011133979469232004,982004855.0,-0.1609075903706441,147665125.0
2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.4372362789584742,992188275.0,0.3423182908357776,73896125.0
2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0023546955751984253,1520068735.0,-1.1433581918185696,-1566815.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2583536954759255,965327980.0,2.3876480813718843,16633530.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0011249217024882226,1475189660.0,-0.20156372110987267,74456350.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.09723087407142661,6501766917.022676,0.05991995608258913,14859315000.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.050724787622750914,2463810505.0,4.338901343449305,67508190.0
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.06893393057829772,1872392045.0,0.9029518661758539,17444070.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.04863246138632848,357886360.0,0.04694421729525052,59988740.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.20014248219714037,812255125.0,0.1100670705207704,159252670.0
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.12043528963129625,356399445.0,-0.46993517503375765,19280125.0
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.11402147677454312,858335000.0,-0.7673179396092362,13880000.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.21127706426450252,7765236255.0,0.41821578819319394,329892490.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.05047172043453372,4994972025.0,-9.93510017623892,12471835.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.434615309291395,469993385.0,-1.9488303047097986,-3838880.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00958922461857368,4980797555.0,0.24049436588503315,154874890.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.05777875532879623,7090224450.0,-1.9662951780666345,-5014385.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.01487516660872303,929714620.0,-0.6107967569062529,-65349350.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.01812849887600452,27096934065.0,-0.025421588240241728,3202686675.5
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.23350136953452183,1652313100.0,0.07078926435977485,63196295.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.06601315410221574,1589551845.0,9.012609995019094,-39797370.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5734969356830621,289079045.0,0.8582608934737164,16113260.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.09867518362206905,1873679680.0,11.237385881274873,17479240.0
