GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,GANANCIA (PERDIDA) PROMEDIO,kmean,cluster
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1625226418257052,28550050.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.1160551013761024,516611490.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2817586235151049,12709165.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0649996100604954,-253515060.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.0068952363311491,182687110.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.2165150521926483,61695765.0,0,3
2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.0662393981679436,88441845.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.0078355943999019,23559560.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.0624705072593865,149996400.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0255525952798767,-4245630.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.2960327983151267,6370445680.0,3,4
2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0425534444716132,116467395.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1275689009824938,74518920.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.2243105613533725,5753885.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0256169218304197,89088310.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.0270912639731817,-12862170.0,0,3
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3073279902178957,2693749654.0,3,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0971372497194138,93909910.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.2204614525057672,806409990.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.225016081350602,15016745.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.4800374676254608,397811010.0,0,3
2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0415671275168104,-2052565.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.000357170880368,113433440.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0360740449696452,499780435.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.2547316966718244,37560685.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2001522888705302,60279530.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.0296794745377622,-386701055.0,0,3
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.514095898220962,57308325.5,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.2728229514783154,245991050.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.3846415049642568,175596020.0,0,3
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.1769902080753904,1189543110.0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0231117702511544,17540930.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.3049568990449592,375029675.0,0,3
